title,artist,bpm,energy,danceability,acousticness,instrumentalness,mood,vocals,instrumentation,genre
Blur,dhruv,118,0.789,0.747,0.0651,2.42e-05,balanced,pop vocals,electronic,chill
ON,BTS,106,0.817,0.583,0.118,0.0,balanced,pop vocals,guitar,k-pop
誰もいない森の奥で一本の木が倒れたら音はするか?,≠ME,172,0.911,0.514,0.191,0.0,balanced,pop vocals,guitar,j-idol
The Funeral,YUNGBLUD,93,0.869,0.576,8.57e-05,7.1e-05,energetic,pop vocals,guitar,british
Holy Spirit,Bryan & Katie Torwalt,144,0.493,0.384,0.0164,0.0,dark,pop vocals,bass,world-music
Alone,Marshmello,142,0.953,0.631,0.0241,0.0155,balanced,pop vocals,guitar,progressive-house
Mallipoo,A.R. Rahman;Madhushree,176,0.654,0.715,0.196,0.000117,energetic,rap vocals,electronic,pop-film
Ainda Te Amo,Calcinha Preta,102,0.526,0.595,0.487,0.0,balanced,pop vocals,bass,forro
Murder On The Dancefloor,Sophie Ellis-Bextor,117,0.848,0.735,0.00312,1.15e-05,energetic,pop vocals,electronic,disco
Run Rudolph Run,Chuck Berry,152,0.876,0.647,0.881,3.59e-05,energetic,pop vocals,acoustic,r-n-b
Jiyein Kyun,Pritam;Papon,71,0.609,0.393,0.0558,2.22e-06,dark,pop vocals,bass,indian
Circumstances,Rygin King,103,0.626,0.63,0.29,1.54e-05,dark,pop vocals,bass,j-dance
You & I,Culture Code;Alexis Donn,142,0.713,0.586,0.0238,0.0,balanced,pop vocals,bass,dub
WHATS POPPIN - Remix,Jack Harlow;DaBaby;Tory Lanez;Lil Wayne,145,0.723,0.904,0.0631,0.0,energetic,pop vocals,electronic,k-pop
BENİM KAFAM SİKTİRMİŞ GİTMİŞ,Büyük Ev Ablukada,125,0.652,0.761,0.0632,0.0,energetic,pop vocals,electronic,turkish
Real Hip-Hop,Das EFX,93,0.76,0.858,0.0217,0.0,energetic,pop vocals,electronic,hardcore
Mr. Guantecillo - Hermanos Computadores de Paine,31 Minutos,139,0.872,0.65,0.473,0.0,balanced,pop vocals,guitar,ska
Ferrari,James Hype;Miggy Dela Rosa,125,0.69,0.847,0.0127,6e-05,energetic,pop vocals,electronic,groove
Veinticinco Rosas,Panteon Rococo,101,0.74,0.755,0.0048,1.87e-06,energetic,pop vocals,electronic,ska
Puchuki Gali - Recreated Version,Mk Mukesh,140,0.685,0.371,0.039,0.0,energetic,pop vocals,bass,samba
Qué Más Pues?,J Balvin;Maria Becerra,102,0.817,0.904,0.0254,0.000141,energetic,pop vocals,electronic,reggaeton
Secreto,Anuel AA;KAROL G,92,0.803,0.807,0.6,0.0085,energetic,pop vocals,acoustic,reggae
Undercover,Bassnectar,88,0.967,0.68,0.00263,0.102,balanced,pop vocals,guitar,breakbeat
Fool's Gold,His Hero Is Gone,73,0.899,0.3,0.000182,0.708,balanced,instrumental,guitar,grindcore
Moon River,Louis Armstrong,87,0.136,0.443,0.889,0.00967,dark,soft vocals,acoustic,jazz
Leave Before You Love Me (with Jonas Brothers),Marshmello;Jonas Brothers,120,0.738,0.721,0.00226,4.41e-06,balanced,pop vocals,electronic,house
Canto de Oxum / Inscrição,Maria Bethânia,104,0.056,0.424,0.898,0.000105,dark,soft vocals,acoustic,mpb
Betty Silicona - Remasterizado 2016,Riff,149,0.828,0.575,0.00273,0.0083,balanced,pop vocals,guitar,heavy-metal
Moonlight Sonata,Henrik Janson,144,0.294,0.673,0.94,0.928,calm,instrumental,piano,guitar
Palomita Encantadora,Trio Ayacucho,66,0.53,0.666,0.825,0.0756,balanced,pop vocals,acoustic,guitar
A Vida É Dela - Ao Vivo,Bom Gosto,102,0.826,0.694,0.412,4e-06,energetic,pop vocals,guitar,pagode
Alice (Não Me Escreva Aquela Carta de Amor) / Conspiração Internacional - Ao Vivo,Leoni,81,0.484,0.567,0.805,0.0,bright,pop vocals,acoustic,mpb
Sotta Sotta m,Sujatha,95,0.414,0.751,0.145,0.000123,balanced,pop vocals,bass,malay
Alaikadal,A.R. Rahman;Antara Nandy,150,0.308,0.441,0.958,0.000231,dark,soft vocals,acoustic,pop-film
Rompendo em Fé,Comunidade Evangélica Internacional da Zona Sul,68,0.59,0.488,0.439,0.0,balanced,pop vocals,bass,gospel
La Fogata,Antonio Garcia Isaac,123,0.333,0.805,0.951,0.884,calm,instrumental,piano,guitar
Alter Witz,Hairklep,82,0.237,0.851,0.187,0.884,bright,instrumental,bass,study
Heavenly Side,ILLENIUM;Matt Maeson,134,0.748,0.442,0.0129,0.0,intense,pop vocals,bass,dubstep
No Stress (Mixed),Wizkid,203,0.638,0.52,0.00871,0.0,balanced,rap vocals,bass,dancehall
Tidal Wave,Sub Focus;Alpines,174,0.868,0.522,0.0446,1.3e-06,balanced,pop vocals,guitar,drum-and-bass
Rockin' Robin,Bobby Day,173,0.686,0.549,0.291,0.0,energetic,pop vocals,bass,rockabilly
O Mundo Deu Voltas,ConeCrewDiretoria,97,0.601,0.71,0.564,0.00182,balanced,pop vocals,acoustic,brazil
I Need U,BTS,158,0.88,0.478,0.0213,0.0,energetic,pop vocals,guitar,k-pop
Fool To Cry - Remastered 2009,The Rolling Stones,135,0.448,0.384,0.9,0.0561,dark,pop vocals,acoustic,british
Sesame Syrup,Cigarettes After Sex,94,0.413,0.426,0.0412,0.381,dark,pop vocals,bass,ambient
Vem Morena,Luiz Gonzaga,116,0.444,0.751,0.434,0.0,bright,pop vocals,bass,mpb
Fall in Love,Bailey Zimmerman,136,0.643,0.524,0.451,0.0,balanced,pop vocals,bass,country
Cráneo Candente,Hermetica,159,0.845,0.245,0.00114,1.3e-05,balanced,pop vocals,guitar,heavy-metal
Ron - Remix,Feid;Dalex,82,0.685,0.764,0.27,0.0,energetic,pop vocals,electronic,latin
Dandini Dandini Dastana,Sertab Erener,88,0.233,0.506,0.957,2.8e-05,dark,soft vocals,acoustic,turkish
Slipping Mats,Dusty Decks,92,0.477,0.746,0.124,0.881,bright,instrumental,bass,study
Söyle Ona,No.1,100,0.452,0.522,0.64,0.00732,balanced,pop vocals,acoustic,turkish
Der Mussolini,DAF,130,0.792,0.801,0.104,0.834,energetic,instrumental,electronic,industrial
